"frequency_hz","input_real","input_imag","input_mag","input_phase_rad","output_real","output_imag","output_mag","output_phase_rad","h_real","h_imag","h_mag","h_phase_rad"
"90900","1919438.375","1202267.375","4423.598","0.56","-369056.906","554586.75","1301.094","2.158","-0.00811363408176873","0.294013871400898","0.294125802394412","1.5983854175851"
"91100","-1904232.75","1211332.875","4407.935","2.575","486694.25","459053.906","1306.7","0.756","-0.0727824008909183","-0.287369083910882","0.296442689684238","-1.81885167710319"
"91300","-2180977.75","-583203.438","4409.389","-2.88","200924.859","-636129.125","1302.942","-1.265","-0.0131886837799449","0.295198247998247","0.295492719032266","1.61544401421656"
"91500","1643671.25","-1554487.25","4418.591","-0.758","438107.312","504782.156","1305.446","0.856","-0.0126166373618745","0.295174448103958","0.295443961440739","1.61351331154151"
"91700","-820758.375","2105651.25","4413.981","1.942","-603947.938","-274566.281","1295.762","-2.715","-0.0161423266306885","0.293114487868835","0.293558644409701","1.62581249826274"
"91900","-476181.125","-2209877.25","4415.231","-1.783","657189.438","-101807.977","1298.884","-0.154","-0.0172118998342586","0.293678509145038","0.294182453979765","1.62933732587948"
"92100","-235618.906","2250451.5","4419.438","1.675","660972.125","-50988.469","1294.797","-0.077","-0.052828526952666","-0.288175384039079","0.292977653117195","-1.75210392507218"
"92300","-182557.922","2255600","4419.874","1.652","-650110","-101139.188","1285.02","-2.987","-0.0213719129226899","0.289950173795146","0.290736757128868","1.64437218902152"
"92500","1785029.875","1398232.75","4428.638","0.664","-440569.469","487145.906","1282.852","2.306","-0.0204781929610956","0.288947088943833","0.289671842946578","1.64154979927441"
"92700","314212.875","2245461.75","4428.397","1.432","-653492.75","34394.129","1278.12","3.089","-0.0249191627599991","0.287541227645756","0.288618991524619","1.65724326096071"
"92900","2047848","970586.75","4426.197","0.443","-324848.594","566858.562","1276.058","2.091","-0.0224029216054907","0.287424916727989","0.288296676450758","1.64858262004661"
"93100","2237215.75","-307608.094","4410.672","-0.137","-173216.172","-633631.438","1282.971","-1.838","-0.0377688166837666","-0.28841627443072","0.290878721927521","-1.70100783398587"
"93300","-1685186.25","-1521006.375","4433.771","-2.407","482180.594","-439118.406","1273.766","-0.739","-0.0280716908897076","0.285912389090686","0.287287163070248","1.66866549101501"
"93500","1543463","-1641515.5","4400.756","-0.816","-518364.094","-399581.781","1278.315","-2.485","-0.0283947879870012","-0.289085171202599","0.29047633327702","-1.66870518064304"
"93700","-988569.625","2023897.5","4399.273","2.025","-548779.688","-353122.812","1274.562","-2.57","-0.0339370824655606","0.287726456940914","0.289720968502533","1.68820299861993"
"93900","1004206.062","2035529.5","4433.125","1.112","-611390.75","211735.359","1263.704","2.808","-0.0355154251164205","0.282838418604881","0.285059496351393","1.69571044128736"
"94100","-1377207.25","-1802571.25","4430.608","-2.223","561667","-324288.844","1266.723","-0.524","-0.0367235676791474","0.283534443560227","0.28590278261691","1.69959992618398"
"94300","1325757.75","-1823444.375","4403.239","-0.942","-543719.5","-352333.594","1265.423","-2.567","-0.0154212200454096","-0.286970474769949","0.287384528841375","-1.62448269086411"
"94500","-277537.688","2235698.75","4400.116","1.694","-624360.625","-166642.641","1262.142","-2.881","-0.0392639160389268","0.284142862037772","0.286842850964999","1.7081104548595"
"94700","-2044980.25","958545.688","4411.103","2.703","-194384.656","-612758.875","1255.571","-1.878","-0.0372189273979357","0.282194819549345","0.284638656435032","1.70193034956594"
"94900","-2000348.75","1051988.25","4414.268","2.657","-217186.016","-602927.625","1251.664","-1.917","-0.0391194383320912","0.28083824659477","0.283549733214199","1.70920101500068"
"95100","750938.938","2131919.5","4414.663","1.232","-630586.812","117913.445","1252.962","2.957","-0.0434822178823965","0.280467588706566","0.283818201648252","1.72460654538296"
"95300","-1977526.125","1100566.75","4420.219","2.634","311058.438","561469.375","1253.665","1.065","0.000548304620904806","-0.283619984623647","0.283620514624516","-1.56886309229961"
"95500","1421867.875","1763206.125","4423.991","0.892","-553985.375","314089.031","1243.807","2.626","-0.0455872837641197","0.277430003090132","0.281150506056064","1.73366084539852"
"95700","-577153.562","2188161.25","4419.917","1.829","-580020.188","-263575.969","1244.335","-2.715","-0.0472522238050263","0.277535294659611","0.281529061441829","1.73943589447981"
"95900","-1304011.75","1849167.5","4419.36","2.185","-446091.562","-451784.844","1240.053","-2.35","-0.0495554294227887","0.276185053135323","0.280595659554167","1.74833550375014"
"96100","-1553152.625","1642847.25","4415.631","2.328","437391.312","464021.719","1245.456","0.815","0.0162351015238968","-0.281588505899731","0.282056138341881","-1.51320467197719"
"96300","1914363.25","-1197748.5","4410.513","-0.559","233389.844","591255.5","1241.508","1.195","-0.0512576100702855","0.276782253537687","0.281488469503669","1.75391286302113"
"96500","523398.562","-2207571.25","4431.191","-1.338","-597160","-197149.047","1228.247","-2.823","0.0238314224154013","-0.276155676616388","0.277182060064854","-1.48471254004231"
"96700","2255615","-19434.777","4405.662","-0.009","-109376.148","623270.062","1235.927","1.745","-0.0508676502457187","0.275881061511366","0.280531420596979","1.75313099824151"
"96900","416794.438","2239572.5","4449.27","1.387","-623553.812","-17687.371","1218.368","-3.113","-0.0577149113685378","0.267684371884335","0.273835596563685","1.78315362004513"
"97100","-2100153.5","-854159","4428.141","-2.755","342607.219","-524766.25","1224.033","-0.992","-0.0527785356460038","0.271336124349413","0.276421537152764","1.76291087024701"
"97300","1910074.375","1250219.375","4458.704","0.58","399171.5","-478051.062","1216.392","-0.875","0.0316186672572444","-0.270974439106166","0.272812915324816","-1.45463655881213"
"97500","626452.438","-2167050.75","4405.824","-1.289","551640.375","312099.406","1237.907","0.515","-0.0650005776435486","0.273348533870842","0.280970632029994","1.80425419078131"
"97700","-2174746.5","-672261","4445.862","-2.842","298906.344","-541168.062","1207.48","-1.066","-0.0552430199345523","0.265918712743863","0.271596305274653","1.77562684130052"
"97900","-1487028","-1748391","4482.889","-2.276","553105.75","-275682.188","1207.035","-0.462","-0.0646308860815821","0.261381929289202","0.269253903211515","1.81320024191896"
"98100","-188598.031","-2253766.25","4417.272","-1.654","620140.562","112229.062","1230.887","0.179","-0.0723153629050562","0.269106002871884","0.278653104224182","1.83331890047396"
"98300","-2271670.75","-195264.703","4453.218","-3.056","184457.219","-585166.25","1198.34","-1.265","-0.0586240140437103","0.262632008045582","0.269095422987184","1.79041334609847"
"98500","-1901136.125","-1302121.625","4500.604","-2.541","462976.312","-397626.344","1191.973","-0.71","-0.0682550093580917","0.255901016924682","0.264847270640192","1.83145248742826"
"98700","2049067","-942294.062","4404.976","-0.431","-155779.266","-596084.25","1203.327","-1.826","0.0476712927598346","-0.268982846292749","0.273174529839702","-1.39538968304598"
"98900","1677336.125","1573553.375","4491.987","0.753","521805.281","-326436.938","1202.151","-0.559","0.0683571372290402","-0.258743930643057","0.267621224596946","-1.31250912203812"
